Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-07-15 08:10:25,false,"New York Running","2.01","196","00:18:30","157","179","2.9","170","177","9:13","8:11","17","30","1.03","0.0","0.0","0.0","0.0","0.0","18:30","0:00","0.0","0:00","No","00:04.20","3","0.0"
Running,2020-07-11 08:09:43,false,"New York Running","3.01","309","00:28:36","161","179","3.3","170","178","9:30","8:24","47","55","1.00","0.0","0.0","0.0","0.0","0.0","28:36","0:00","0.0","0:00","No","00:05.07","4","0.0"
Running,2020-07-09 07:39:33,false,"New York Running","4.01","413","00:38:05","161","181","3.7","170","178","9:29","8:39","49","73","1.00","0.0","0.0","0.0","0.0","0.0","38:05","0:00","0.0","0:00","No","00:08.24","5","0.0"
Running,2020-07-07 08:10:14,false,"New York Running","2.51","250","00:23:28","157","175","3.1","170","248","9:21","7:04","29","35","1.01","0.0","0.0","0.0","0.0","0.0","23:28","0:00","0.0","0:00","No","04:55.13","3","0.0"
Running,2020-07-05 07:59:59,false,"New York Running","3.01","303","00:28:07","160","179","3.4","169","178","9:21","8:26","47","54","1.02","0.0","0.0","0.0","0.0","0.0","28:07","0:00","0.0","0:00","No","00:02.53","4","0.0"
Running,2020-07-03 07:48:45,false,"New York Running","3.00","307","00:27:54","164","183","3.5","169","180","9:17","7:55","47","50","1.02","0.0","0.0","0.0","0.0","0.0","27:54","0:00","0.0","0:00","No","00:01.47","4","0.0"
Running,2020-07-01 08:03:00,false,"New York Running","2.51","254","00:23:41","158","176","3.2","167","176","9:26","8:36","36","40","1.02","0.0","0.0","0.0","0.0","0.0","23:41","0:00","0.0","0:00","No","04:47.100","3","0.0"
Running,2020-06-28 06:34:45,false,"Cobb County Running","3.01","326","00:28:32","167","184","3.8","168","175","9:28","8:39","20","24","1.01","0.0","0.0","0.0","0.0","0.0","28:32","0:00","0.0","0:00","No","00:06.26","4","0.0"
Running,2020-06-26 09:07:38,false,"Cobb County Running","2.51","260","00:22:37","168","180","3.5","169","182","9:02","8:24","24","26","1.06","0.0","0.0","0.0","0.0","0.0","22:37","0:00","0.0","0:00","No","04:31.13","3","0.0"
Running,2020-06-23 10:49:08,false,"Cobb County Running","2.04","215","00:18:46","167","180","3.3","169","178","9:13","8:09","24","29","1.04","0.0","0.0","0.0","0.0","0.0","18:46","0:00","0.0","0:00","No","00:16.94","3","0.0"
Running,2020-06-21 12:10:55,false,"Cobb County Running","1.01","107","00:09:33.9","162","180","2.5","167","173","9:30","8:52","8","--","1.02","0.0","0.0","0.0","0.0","0.0","9:33.9","0:00","0.0","0:00","No","00:02.42","2","0.0"
Running,2020-06-19 10:02:35,false,"Cobb County Running","2.50","261","00:22:49","165","184","3.4","170","180","9:07","8:26","24","27","1.04","0.0","0.0","0.0","0.0","0.0","22:49","0:00","0.0","0:00","No","04:27.83","3","0.0"
Running,2020-06-17 09:59:45,false,"Cobb County Running","1.51","150","00:13:42","159","173","2.8","170","176","9:05","7:58","21","20","1.04","0.0","0.0","0.0","0.0","0.0","13:42","0:00","0.0","0:00","No","04:30.85","2","0.0"
Running,2020-06-15 09:51:43,false,"Cobb County Running","2.03","207","00:18:54","160","175","3.1","168","178","9:17","8:43","20","19","1.03","0.0","0.0","0.0","0.0","0.0","18:54","0:00","0.0","0:00","No","00:18.32","3","0.0"
Running,2020-06-13 09:25:54,false,"Cobb County Running","2.04","216","00:18:44","166","179","3.2","168","176","9:11","8:39","21","20","1.04","0.0","0.0","0.0","0.0","0.0","18:44","0:00","0.0","0:00","No","00:20.07","3","0.0"
